name;url;locationCoordinate;locationCountry;locationRegion;elevationTopM;elevationDifferenceM;totalSlopeLengthKm;numberOfLifts;numberOfSlopes;annualSnowfallCm;id
4 Vallées (Verbier);http://www.4vallees.ch;{'lat': '46.1013', 'long': '7.2263'};Switzerland;Valais;3330.0;1980.0;412.0;68.0;307.0;500.0;8271045547
Matterhorn (Zermatt/Cervinia);https://www.matterhornparadise.ch/;{'lat': '45.9845', 'long': '7.7481'};Switzerland;Valais;3899.0;2337.0;322.0;51.0;69.0;450.0;7011713339
Les 3 Vallées (Val Thorens/Méribel/Courchevel);https://www.les3vallees.com/;{'lat': '45.295', 'long': '6.580'};France;Savoie;3230.0;2130.0;600.0;156.0;61.0;500.0;2530870756
Chamonix Mont-Blanc;https://www.chamonix.com;{'lat': '45.9237', 'long': '6.8694'};France;Auvergne-Rhône-Alpes;3842.0;2807.0;152.0;65.0;102.0;450.0;5172036630
Zell am See-Kaprun;https://www.zellamsee-kaprun.com/;{'lat': '47.3231', 'long': '12.7768'};Austria;Schwaz;3029.0;2261.0;138.0;49.0;26.0;600.0;8574995022
La Plagne;https://www.la-plagne.com/;{'lat': '45.5078', 'long': '6.6770'};France;Savoie;3167.0;1960.0;225.0;74.0;225.0;500.0;4271181653
Tignes – Val d'Isère;https://www.tignes.net/;{'lat': '45.4691', 'long': '6.9051'};France;Savoie;3456.0;1906.0;300.0;79.0;130.0;500.0;2957654843
Ski Arlberg (St.Anton);https://www.skiarlberg.at/;{'lat': '47.128', 'long': '10.228'};Austria;Tyrol;2811.0;1507.0;301.0;85.0;93.0;400.0;6721349875
Alpe d'Huez;https://www.alpedhuez.com/;{'lat': '45.0915', 'long': '6.0668'};France;Isère;3330.0;2205.0;250.0;69.0;3.0;450.0;1342209047
Les Portes du Soleil;https://www.portesdusoleil.com/;{'lat': '46.2090', 'long': '6.7766'};Switzerland;Valais;2254.0;1269.0;580.0;165.0;53.0;700.0;3033516175
Palisades Tahoe;https://www.palisadestahoe.com;{'lat': '39.1971', 'long': '-120.2357'};USA;California;2745.0;855.0;200.0;43.0;43.0;1194.0;5120979343
Saalbach Hinterglemm;https://www.saalbach.com/;{'lat': '47.3925', 'long': '12.6360'};Austria;Pinzgau;2096.0;1266.0;270.0;70.0;82.0;600.0;7120910388
White Grizzly;https://www.whitegrizzly.com/;{'lat': '50.053227', 'long': '-117.058441'};Canada;British Columbia;2500.0;1840.0;280.0;4.0;20.0;1200.0;1708218616
Les Arcs;https://www.lesarcs-peiseyvallandry.com/;{'lat': '45.5761', 'long': '6.7811'};France;Savoie;3226.0;2026.0;200.0;53.0;200.0;500.0;1968761193
Le Grand Massif;https://www.grand-massif.com/;{'lat': '46.0086', 'long': '6.6876'};France;Haute-Savoie;2480.0;1783.0;265.0;62.0;141.0;600.0;5192415019
Mayrhofen;https://www.mayrhofen.at/de/pages/mountopolis-startseite-winter;{'lat': '47.1625', 'long': '11.8613'};Austria;Schwaz;2500.0;1870.0;142.0;58.0;85.0;600.0;4139958949
Whistler Blackcomb;https://www.whistlerblackcomb.com/;{'lat': '50.1150', 'long': '-122.9463'};Canada;British Columbia;2284.0;1609.0;200.0;27.0;61.0;1182.0;1178634096
Park City;https://www.parkcitymountain.com/;{'lat': '40.6514', 'long': '-111.5076'};USA;Utah;3048.0;975.0;250.0;42.0;213.0;900.0;6124510216
Les 2 Alpes;https://www.les2alpes.com;{'lat': '45.0063', 'long': '6.1183'};France;Isère;3523.0;2243.0;200.0;44.0;85.0;400.0;3459966718
Niseko United;https://www.niseko.ne.jp/en/;{'lat': '42.8048', 'long': '140.6874'};Japan;Hokkaido;1188.0;933.0;51.0;32.0;59.0;1500.0;9448631714
Jackson Hole;https://www.jacksonhole.com/;{'lat': '43.5875', 'long': '-110.8277'};USA;Wyoming;3185.0;1261.0;116.0;13.0;116.0;1200.0;7117167063
Serre Chevalier;https://serrechevalier-pass.com/;{'lat': '44.9442', 'long': '6.5899'};France;Provence-Alpes-Côte d’Azur;2800.0;1600.0;250.0;59.0;76.0;500.0;7361003298
Arosa Lenzerheide;https://arosalenzerheide.swiss/;{'lat': '46.7381', 'long': '9.5584'};Switzerland;Graubünden;2865.0;1636.0;225.0;43.0;43.0;500.0;8239133135
Silvretta Arena (Ischgl);https://www.ischgl.com/;{'lat': '46.9872', 'long': '10.2875'};Austria;Tyrol;2872.0;1512.0;239.0;46.0;0.0;550.0;4618056283
SkiWelt;https://www.skiwelt.at/;{'lat': '47.4558533', 'long': '12.2083789'};Austria;Tyrol;1869.0;1249.0;270.0;82.0;60.0;400.0;4474867165
Megève/Saint-Gervais;https://www.ski-saintgervais.com;{'lat': '45.8545', 'long': '6.6163'};France;Haute-Savoie;2353.0;1503.0;263.0;80.0;73.0;450.0;8589869141
Les Sybelles;https://www.sybelles.ski/;{'lat': '45.2446', 'long': '6.2710'};France;Savoie;2620.0;1520.0;310.0;68.0;57.0;500.0;9419644952
Serfaus-Fiss-Ladis;https://www.serfaus-fiss-ladis.at/;{'lat': '47.0425', 'long': '10.6056'};Austria;Landeck;2828.0;1628.0;186.0;38.0;65.0;400.0;1638566123
Big Sky Resort;https://bigskyresort.com/;{'lat': '45.2845', 'long': '-111.4014'};USA;Montana;3398.0;1326.0;250.0;38.0;300.0;1016.0;1251261259
Sölden;https://www.soelden.com/;{'lat': '46.969784', 'long': '11.010108'};Austria;Imst;3340.0;1990.0;147.0;31.0;65.0;300.0;1427599041
Monterosa Ski;https://www.visitmonterosa.com/;{'lat': '45.8456', 'long': '7.9362'};Italy;Aosta Valley and Piedmont;3275.0;2063.0;132.0;20.0;123.0;600.0;4596142667
Hintertux Glacier;https://www.hintertuxergletscher.at/;{'lat': '47.0957', 'long': '11.6677'};Austria;Bezirk Schwaz;3250.0;1750.0;62.0;21.0;3.0;600.0;1922986942
Val Gardena;https://www.valgardena.it/;{'lat': '46.5561', 'long': '11.6743'};Italy;Trentino-Alto Adige;2518.0;1282.0;181.0;79.0;79.0;300.0;2799572713
Engelberg - Titlis;https://www.engelberg.ch/;{'lat': '46.8208', 'long': '8.4114'};Switzerland;Obwalden;3020.0;2017.0;80.0;28.0;63.0;500.0;1229755061
Grandvalira;https://www.grandvalira.com/;{'lat': '42.5428', 'long': '1.7336'};Andorra;Encamp;2640.0;930.0;215.0;74.0;54.0;500.0;1447924852
Via Lattea;https://www.vialattea.it/;{'lat': '44.9555', 'long': '6.8769'};Italy;Piedmont (Piemonte);2789.0;1251.0;400.0;70.0;128.0;500.0;1246148959
Snowmass;https://www.aspensnowmass.com/;{'lat': '39.2097', 'long': '-106.9378'};USA;Colorado;3813.0;1340.0;237.0;20.0;40.0;760.0;4584476004
Laax;https://www.flimslaax.com/;{'lat': '46.8466', 'long': '9.2630'};Switzerland;Graubünden;3018.0;1918.0;214.0;28.0;63.0;520.0;9374167610
Parsenn;https://www.davosklostersmountains.ch/de/mountains/berge/parsenn;{'lat': '46.8326', 'long': '9.8093'};Switzerland;Graubünden;2844.0;2034.0;95.0;18.0;48.0;400.0;9158117044
Madonna di Campiglio/Pinzolo/Folgàrida/Marilleva;https://www.ski.it/;{'lat': '46.2276', 'long': '10.8265'};Italy;Trentino-Alto Adige;2504.0;1652.0;155.0;58.0;73.0;350.0;3921595810
Beaver Creek;https://www.beavercreek.com/;{'lat': '39.6043', 'long': '-106.5167'};USA;Colorado;3488.0;1233.0;150.0;25.0;47.0;752.0;9744727371
KitzSki (Kitzbühel);https://www.kitzski.at/;{'lat': '47.444167', 'long': '12.392778'};Austria;Tiryol;2000.0;1200.0;188.0;58.0;82.0;400.0;7618248552
Saas-Fee;https://www.saas-fee.ch;{'lat': '46.107882', 'long': '7.928735'};Switzerland;Valais;3573.0;1773.0;100.0;23.0;35.0;600.0;5066326302
Steamboat;https://www.steamboat.com/;{'lat': '40.4850', 'long': '-106.8317'};USA;Colorado;3221.0;1118.0;165.0;20.0;0.0;760.0;2245251046
Kaltenbach – Hochzillertal;https://www.hochzillertal.com/;{'lat': '47.2988', 'long': '11.8978'};Austria;Schwaz;2378.0;1778.0;85.6;40.0;78.0;450.0;5828744063
Alta Badia;https://www.altabadia.org/;{'lat': '46.5749', 'long': '11.8951'};Italy;Trentino-Alto Adige/Südtirol;2778.0;1454.0;130.0;53.0;100.0;300.0;2558373960
Silvretta Montafon;https://www.silvretta-montafon.at;{'lat': '47.0493', 'long': '9.9690'};Austria;Bludenz;2430.0;1730.0;140.0;36.0;67.0;400.0;2050123390
Cortina d'Ampezzo;https://www.skipasscortina.com;{'lat': '46.5405', 'long': '12.1357'};Italy;Venetia (Veneto);2828.0;1611.0;120.0;27.0;52.0;300.0;9493380237
Mustang Powder;https://www.mustangpowder.com/;{'lat': '50.9735', 'long': '-118.6971'};Canada;British Columbia;2440.0;1740.0;70.0;5.0;25.0;1500.0;5832140056
Espace San Bernardo;https://www.espacesanbernardo.ski/;{'lat': '45.616', 'long': '6.847'};France;Auvergne-Rhône-Alpes;2800.0;1610.0;144.0;38.0;38.0;700.0;2862038151
Breckenridge;https://www.breckenridge.com/;{'lat': '39.4817', 'long': '-106.0384'};USA;Colorado;3914.0;988.0;153.0;35.0;46.0;762.0;6745379069
Vail;https://www.vail.com/;{'lat': '39.6061', 'long': '-106.3550'};USA;Colorado;3527.0;1070.0;234.0;34.0;150.0;750.0;7917388665
Schladming 4-Berge Skischaukel;http://www.4berge.at/;{'lat': '47.392138', 'long': '13.686028'};Austria;Liezen;2015.0;1287.0;123.0;47.0;78.0;400.0;1960267105
Baqueira Beret;https://www.baqueira.es/;{'lat': '42.7009', 'long': '0.9348'};Spain;Catalonia;2610.0;1110.0;165.0;36.0;49.0;500.0;1705246272
Winter Park Resort;https://www.winterparkresort.com/;{'lat': '39.8860', 'long': '-105.7625'};USA;Colorado;3676.0;933.0;143.0;25.0;39.0;760.0;9030536639
Obertauern;https://www.obertauern.com;{'lat': '47.2495', 'long': '13.5590'};Austria;Tamsweg;2313.0;683.0;100.0;26.0;63.0;450.0;2551042825
Heavenly;https://www.skiheavenly.com/;{'lat': '38.9354', 'long': '-119.9405'};USA;California;3060.0;1059.0;94.0;27.0;27.0;910.0;6498161055
Gurgl;https://www.gurgl.com/;{'lat': '46.8692', 'long': '11.0233'};Austria;Imst;3030.0;1237.0;112.0;25.0;58.0;600.0;8198606687
Espace Diamant;https://www.espacediamant.com/;{'lat': '45.8025', 'long': '6.5208'};France;Auvergne-Rhône-Alpes;2069.0;1069.0;192.0;82.0;67.0;600.0;7049590336
Snowbird;https://www.snowbird.com/;{'lat': '40.5809', 'long': '-111.6549'};USA;Utah;3353.0;988.0;103.0;14.0;77.0;1270.0;6378632046
Mammoth Mountain;https://www.mammothmountain.com/;{'lat': '37.630769', 'long': '-119.032594'};USA;California;3369.0;945.0;89.8;25.0;50.0;1000.0;8258047859
Aspen Highlands;https://www.aspensnowmass.com/;{'lat': '39.1827', 'long': '-106.8551'};USA;Colorado;3559.0;1108.0;135.0;5.0;42.0;700.0;6662403526
Crans-Montana;https://www.crans-montana.ch/;{'lat': '46.3113', 'long': '7.4808'};Switzerland;Valais;2927.0;1417.0;140.0;19.0;40.0;400.0;5662110104
Monashee;https://www.cmhheli.com/destinations/monashees;{'lat': '50.8806', 'long': '-118.5604'};Canada;British Columbia;3140.0;2560.0;0.0;3.0;0.0;1500.0;1786922123
Stubai Glacier;https://www.stubaier-gletscher.com/;{'lat': '47.11087', 'long': '11.12788'};Austria;Innsbruck-Land;3212.0;1515.0;68.0;26.0;35.0;750.0;9012955599
Aspen Mountain;https://www.aspensnowmass.com/;{'lat': '39.18729', 'long': '-106.81754'};USA;Colorado;3418.0;996.0;103.0;9.0;57.0;762.0;5335232815
St. Moritz – Corviglia;https://www.mountains.ch/;{'lat': '46.4983', 'long': '9.8390'};Switzerland;Graubünden;3057.0;1322.0;155.0;23.0;155.0;400.0;7117688578
Arabba/Marmolada;https://www.arabba.it/;{'lat': '46.4961', 'long': '11.8774'};Italy;Veneto;3269.0;1823.0;63.0;26.0;20.0;400.0;2758784030
Hemsedal;https://www.skistar.com/no/vare-skisteder/hemsedal/;{'lat': '60.8620', 'long': '8.5514'};Norway;Viken;1450.0;830.0;44.0;21.0;37.0;350.0;5382002697
Hochkönig;https://www.hochkoenig.at/;{'lat': '47.3814', 'long': '13.0550'};Austria;Zell am See;1900.0;1100.0;120.0;34.0;70.0;600.0;9752298396
Cariboos;https://www.cmhheli.com/destinations/cariboos;{'lat': '53.2167', 'long': '-119.2855'};Canada;British Columbia;3000.0;1900.0;85.0;10.0;25.0;1200.0;2098421571
Schilthorn;https://www.schilthorn.ch/;{'lat': '46.5573', 'long': '7.8355'};Switzerland;Bern;2970.0;2174.0;54.0;16.0;48.0;400.0;3083731888
Telluride;https://www.tellurideskiresort.com/;{'lat': '37.9375', 'long': '-107.8123'};USA;Colorado;3815.0;1155.0;88.2;19.0;88.0;760.0;3851607190
Revelstoke Mountain Resort;https://www.revelstokemountainresort.com/;{'lat': '51.0850', 'long': '-118.1500'};Canada;British Columbia;2225.0;1713.0;55.0;7.0;39.0;1200.0;7228985380
Ponte di Legno-Tonale;https://www.pontedilegnotonale.com/;{'lat': '46.2532', 'long': '10.5858'};Italy;Trentino-Alto Adige (Trentino-Südtirol);3000.0;1879.0;100.0;30.0;63.0;400.0;1494582686
La Clusaz;https://www.laclusaz.com/;{'lat': '45.9043', 'long': '6.4275'};France;Haute-Savoie;2485.0;1435.0;125.0;49.0;50.0;500.0;5643670309
Kronplatz;https://www.kronplatz.com/;{'lat': '46.7597', 'long': '11.9512'};Italy;Trentino-Alto Adige/Südtirol;2275.0;1302.0;121.0;31.0;28.0;250.0;8016886628
Garmisch-Classic;https://zugspitze.de/de/Garmisch-Classic/Winter;{'lat': '47.4925', 'long': '11.0956'};Germany;Garmisch-Partenkirchen;2050.0;1310.0;40.0;18.0;30.0;500.0;4313785728
Northstar California;https://www.northstarcalifornia.com/;{'lat': '39.2744', 'long': '-120.1204'};USA;California;2624.0;695.0;97.0;19.0;27.0;900.0;8713284616
Gothics;https://www.cmhheli.com/our-lodges/gothics/;{'lat': '51.0000', 'long': '-117.5000'};Canada;British Columbia;2800.0;1800.0;0.0;2.0;0.0;1200.0;8419104967
Niseko Weiss;https://hanazononiseko.com/en/winter/activities/weiss-cat-skiing;{'lat': '42.8709', 'long': '140.7243'};Japan;Hokkaido;930.0;490.0;6.0;1.0;5.0;1500.0;2536412680
Rusutsu;https://rusutsu.com/en/;{'lat': '42.7490', 'long': '140.8959'};Japan;Hokkaido;994.0;594.0;42.0;18.0;42.0;1200.0;2773129473
Livigno;https://www.livigno.eu/;{'lat': '46.5376', 'long': '10.1358'};Italy;Lombardy;2798.0;982.0;115.0;32.0;3.0;300.0;9079907138
La Grave;https://www.la-grave.com/;{'lat': '45.045837', 'long': '6.312683'};France;Hautes-Alpes;3534.0;2064.0;3.0;3.0;1.0;700.0;6698274115
Keystone;https://www.keystoneresort.com/;{'lat': '39.605', 'long': '-105.951'};USA;Colorado;3743.0;908.0;135.0;21.0;50.0;600.0;3999148843
Kleine Scheidegg/Männlichen;https://www.jungfrau.ch/de-ch/jungfrau-ski-region/;{'lat': '46.6056', 'long': '7.9612'};Switzerland;Bern;2400.0;1456.0;102.0;23.0;30.0;400.0;7713103352
Yuzawa Kogen/Gala Yuzawa/Ishiuchi Maruyama;https://www.yuzawasnowlink.com/;{'lat': '36.9333', 'long': '138.8167'};Japan;Niigata Prefecture;1181.0;925.0;33.8;30.0;30.0;1200.0;2761000093
Gemsstock;https://www.andermatt-sedrun-disentis.ch/;{'lat': '46.6290', 'long': '8.5947'};Switzerland;Uri;2961.0;1517.0;31.0;4.0;2.0;550.0;5122201840
Corvatsch;https://www.corvatsch-diavolezza.ch/berge/corvatsch;{'lat': '46.4580', 'long': '9.8168'};Switzerland;Graubünden;3303.0;1506.0;120.0;14.0;53.0;500.0;8147003595
Mt. Bachelor;https://www.mtbachelor.com/;{'lat': '43.9783', 'long': '-121.6870'};USA;Oregon;2763.0;1026.0;99.0;15.0;34.0;983.0;3426851763
Damüls Mellau;https://www.damuels-mellau.at/;{'lat': '47.2928', 'long': '9.8836'};Austria;Bezirk Bregenz;2050.0;1340.0;80.8;21.0;52.0;550.0;5702924837
Copper Mountain;https://www.coppercolorado.com/;{'lat': '39.5022', 'long': '-106.1496'};USA;Colorado;3792.0;832.0;126.0;24.0;126.0;625.0;1841873534
Le Grand Domaine;https://skipass.valmorel.com/;{'lat': '45.455', 'long': '6.451'};France;Savoie;2403.0;1153.0;165.0;47.0;154.0;500.0;6212171174
Bad Gastein/Bad Hofgastein;https://www.skigastein.com/de/skigebiet/schlossalm-angertal-stubnerkogel;{'lat': '47.1145', 'long': '13.1376'};Austria;Pongau;2300.0;1440.0;83.0;18.0;66.0;300.0;3188864862
Åre;http://www.skistar.com/are;{'lat': '63.3980', 'long': '13.0827'};Sweden;Jämtland;1274.0;894.0;91.0;35.0;58.0;300.0;6409317739
Deer Valley;https://www.deervalley.com/;{'lat': '40.6374', 'long': '-111.4783'};USA;Utah;2917.0;914.0;103.0;25.0;103.0;360.0;8982342951
Monte Bianco;https://montebianco.com/;{'lat': '45.8147', 'long': '6.9627'};Italy;Aosta Valley (Valle d'Aosta);3466.0;2096.0;42.0;2.0;2.0;400.0;3811070609
Andermatt/Oberalp/Sedrun;https://andermatt-sedrun-disentis.ch/;{'lat': '46.6373', 'long': '8.5943'};Switzerland;Uri;2600.0;1156.0;70.0;13.0;56.0;500.0;4948262647
Glacier 3000;https://www.glacier3000.ch/;{'lat': '46.3496', 'long': '7.1686'};Switzerland;Bern;3016.0;1673.0;31.0;11.0;10.0;500.0;4758782503
Bormio;https://www.bormioski.eu/;{'lat': '46.4674', 'long': '10.3721'};Italy;Alta Valtellina;3017.0;1817.0;50.0;14.0;14.0;500.0;1593003177
Galibier Thabor;https://skipass.valloire.com/;{'lat': '45.1659', 'long': '6.4299'};France;Savoie;2750.0;1320.0;160.0;30.0;85.0;400.0;1163136813
Courmayeur;https://www.courmayeur-montblanc.com/;{'lat': '45.808056', 'long': '6.967778'};Italy;Aosta Valley;2755.0;1550.0;42.0;18.0;16.0;400.0;4712590630
Nassfeld;http://www.nassfeld.at;{'lat': '46.5640', 'long': '13.2815'};Austria;Hermagor;2002.0;1402.0;110.0;30.0;45.0;300.0;8673879638
Mitsumata/Kagura/Tashiro (Mt. Naeba);https://www.princehotels.com/en/ski/kagura/index.html;{'lat': '36.8623', 'long': '138.7687'};Japan;Niigata Prefecture;1845.0;1225.0;30.0;19.0;30.0;800.0;6930281759
Snowbasin;https://www.snowbasin.com/;{'lat': '41.2164', 'long': '-111.8567'};USA;Utah;2850.0;900.0;80.0;13.0;3.0;1000.0;3736622498
Alpe di Siusi;https://www.seiseralm.it/ski;{'lat': '46.5447', 'long': '11.6350'};Italy;Trentino-Alto Adige;2220.0;993.0;63.0;21.0;3.0;450.0;9224305936
Val Cenis;https://www.valcenis.ski/;{'lat': '45.2852', 'long': '6.8857'};France;Savoie;2800.0;1500.0;125.0;29.0;25.0;550.0;1497082491
Happo-One;https://www.happo-one.jp/;{'lat': '36.6958', 'long': '137.8378'};Japan;Nagano Prefecture;1831.0;1071.0;52.0;22.0;52.0;800.0;2570606602
Flumserberg;https://www.flumserberg.ch/;{'lat': '47.0949', 'long': '9.3030'};Switzerland;St. Gallen;2222.0;1557.0;65.0;17.0;1.0;400.0;6276241146
Belvedere/Col Rodella/Ciampac/Buffaure;https://www.valdifassalift.it/;{'lat': '46.476', 'long': '11.771'};Italy;Trentino-Alto Adige;2485.0;1165.0;55.0;35.0;30.0;300.0;2374568577
Adamants;https://www.cmhheli.com/destinations/adamants;{'lat': '51.3653', 'long': '-117.5002'};Canada;British Columbia;3100.0;2200.0;30.0;3.0;15.0;1000.0;5578236864
First – Grindelwald;https://www.jungfrau.ch/de-ch/jungfrau-ski-region/skigebiet-grindelwald-first/;{'lat': '46.6253', 'long': '8.0391'};Switzerland;Bern;2500.0;1450.0;49.0;10.0;3.0;500.0;8652675850
Aletsch Arena;https://www.aletscharena.ch/;{'lat': '46.3914', 'long': '8.0471'};Switzerland;Valais;2869.0;1024.0;104.0;35.0;35.0;450.0;8501547613
Sierra Nevada;https://sierranevada.es/;{'lat': '37.0935', 'long': '-3.3974'};Spain;Granada;3300.0;1200.0;113.0;23.0;60.0;250.0;2273657492
Crystal Mountain;https://crystalmountainresort.com/;{'lat': '46.9353', 'long': '-121.4742'};USA;Washington;2137.0;796.0;50.0;11.0;45.0;1300.0;7449263687
Grimentz/Zinal;https://www.valdanniviers.ch/;{'lat': '46.1626', 'long': '7.5803'};Switzerland;Valais;2900.0;1330.0;115.0;21.0;49.0;400.0;8866876272
Bella Coola;https://www.bellacoolaheliskiing.com/;{'lat': '52.3706', 'long': '-126.7494'};Canada;British Columbia;2896.0;1982.0;0.0;6.0;0.0;1500.0;7366732646
Großarltal/Dorfgastein;https://www.grossarltal.info | https://www.dorfgastein.com;{'lat': '47.2345', 'long': '13.1994'};Austria;Pongau;2033.0;1184.0;67.5;17.0;42.0;300.0;5682573175
Alta;https://www.alta.com/;{'lat': '40.5884', 'long': '-111.6385'};USA;Utah;3200.0;600.0;71.0;8.0;71.0;1300.0;6196691087
Fernie;https://skifernie.com/;{'lat': '49.4639', 'long': '-115.0908'};Canada;British Columbia;2134.0;1082.0;142.0;10.0;5.0;1100.0;7658083601
Last Frontier;https://www.lastfrontierheli.com/;{'lat': '56.8327', 'long': '-130.2909'};Canada;British Columbia;2600.0;2000.0;0.0;0.0;0.0;1600.0;8500763577
Hohsaas;https://www.saas-fee.ch/de/bergbahnen-hohsaas-ag;{'lat': '46.133', 'long': '7.932'};Switzerland;Valais;3200.0;1641.0;26.0;8.0;3.0;800.0;4231161790
Belalp-Blatten;https://www.belalp.ch/;{'lat': '46.3386', 'long': '7.9653'};Switzerland;Valais;3118.0;1796.0;38.0;13.0;29.0;450.0;7054803005
3 Zinnen Dolomites;https://www.dreizinnen.com/;{'lat': '46.7207', 'long': '12.3000'};Italy;Trentino-Alto Adige;2200.0;1070.0;86.0;20.0;3.0;400.0;5046010679
Myoko Akakura;https://akakura-ski.com/;{'lat': '36.8917', 'long': '138.1783'};Japan;Niigata Prefecture;1491.0;804.0;20.0;21.0;20.0;1200.0;9521966939
Vars/Risoul;https://www.vars.com - https://www.risoul.com;{'lat': '44.5586', 'long': '6.6909'};France;Provence-Alpes-Côte d’Azur;2750.0;1100.0;185.0;35.0;59.0;300.0;4475490440
Kiroro;https://www.kiroro.co.jp/;{'lat': '43.0660', 'long': '140.9808'};Japan;Hokkaido;1180.0;660.0;30.0;10.0;30.0;1400.0;2897884210
Grossglockner Heiligenblut;https://skisport.com/Grossglockner/;{'lat': '47.048836', 'long': '12.839640'};Austria;Spittal an der Drau;2989.0;1688.0;47.0;10.0;3.0;500.0;8593959441
Passo San Pellegrino/Falcade;https://www.skiareasanpellegrino.it/;{'lat': '46.3786', 'long': '11.7433'};Italy;Trentino-Alto Adige (Trentino-Südtirol), Trentino;2513.0;1323.0;67.0;15.0;57.0;300.0;1682803848
Kappl;http://www.kappl.com/de/aktiv/skigebiet-kappl;{'lat': '47.0737', 'long': '10.3439'};Austria;Landeck;2690.0;1510.0;42.0;10.0;26.0;400.0;3745895863
Pitztal Glacier;https://www.pitztaler-gletscher.at;{'lat': '47.06', 'long': '10.80'};Austria;Imst;3440.0;755.0;40.0;7.0;16.0;700.0;1593657119
Shigakogen Mountain Resort;https://www.shigakogen-ski.or.jp/;{'lat': '36.731667', 'long': '138.508611'};Japan;Nagano Prefecture;2307.0;967.0;83.0;48.0;83.0;500.0;5448784046
Kirkwood;https://www.kirkwood.com/;{'lat': '38.6844', 'long': '-120.0659'};USA;California;2987.0;610.0;65.0;13.0;3.0;1200.0;1643308861
Silverton Mountain;https://silvertonmountain.com/;{'lat': '37.8855', 'long': '-107.6659'};USA;Colorado;3790.0;643.0;100.0;1.0;1.0;900.0;6296760627
Taos;https://www.skitaos.com/;{'lat': '36.5970', 'long': '-105.4438'};USA;New Mexico;3795.0;990.0;113.0;14.0;113.0;750.0;4449661454
Spieljoch;https://www.spieljochbahn.at/;{'lat': '47.3460', 'long': '11.8500'};Austria;Schwaz;2054.0;1444.0;17.0;11.0;17.0;300.0;3349117845
Wildkogel;https://www.wildkogel-arena.at/;{'lat': '47.2738', 'long': '12.2784'};Austria;Zell am See;2150.0;1330.0;75.0;20.0;3.0;400.0;7532388621
See;https://www.see.at/bergbahnsee;{'lat': '47.0853', 'long': '10.4503'};Austria;Landeck;2570.0;1530.0;42.5;11.0;24.0;500.0;3703632910
Powderbird;https://www.powderbird.com/;{'lat': '40.5781', 'long': '-111.6372'};USA;Utah;3354.0;916.0;85.0;10.0;70.0;1270.0;7232128938
Killington;https://www.killington.com/;{'lat': '43.6267', 'long': '-72.7962'};USA;Vermont;1293.0;938.0;118.0;22.0;68.0;560.0;9326237286
Nauders am Reschenpass;https://www.nauders.com/;{'lat': '46.8975', 'long': '10.5078'};Austria;Bezirk Landeck;2750.0;1350.0;75.0;11.0;3.0;600.0;1012555478
Highland Powder Cat Skiing;http://www.highlandpowderskiing.com/;{'lat': '49.5', 'long': '-115.5'};Canada;British Columbia;2450.0;1250.0;20.0;0.0;0.0;500.0;9816649720
Zao Onsen;https://zaomountainresort.com/;{'lat': '38.1671', 'long': '140.3953'};Japan;Yamagata Prefecture;1661.0;881.0;50.0;35.0;42.0;900.0;5959856895
Adelboden/Lenk;https://www.adelboden-lenk.ch/;{'lat': '46.4900', 'long': '7.5573'};Switzerland;Bern;2200.0;940.0;86.0;25.0;37.0;400.0;1457536120
Grand Tourmalet;https://www.n-py.com/fr/grand-tourmalet;{'lat': '42.9092', 'long': '0.1758'};France;Hautes-Pyrénées;2500.0;1250.0;100.0;29.0;50.0;300.0;4490559270
Timberline;https://www.timberlinelodge.com/;{'lat': '45.3314', 'long': '-121.7116'};USA;Oregon;2603.0;1125.0;31.0;7.0;31.0;1100.0;7117553496
Disentis;https://www.disentis.fun/;{'lat': '46.7055', 'long': '8.8554'};Switzerland;Graubünden;2833.0;1606.0;60.0;12.0;21.0;500.0;9596618610
Lauchernalp;https://www.loetschental.ch/?id=108;{'lat': '46.402', 'long': '7.803'};Switzerland;Valais;3100.0;1697.0;40.0;6.0;3.0;500.0;6254586640
Nebelhorn;https://www.ok-bergbahnen.com/winter/skigebiete/nebelhorn/;{'lat': '47.4047', 'long': '10.3051'};Germany;Oberallgäu;2224.0;1396.0;12.9;6.0;3.0;180.0;2461669522
Zauchensee;https://www.zauchensee.at/;{'lat': '47.2833', 'long': '13.4500'};Austria;St. Johann im Pongau;2176.0;1176.0;45.0;16.0;16.0;500.0;2707916962
Ski Juwel;https://www.skijuwel.com/;{'lat': '47.372', 'long': '11.895'};Austria;Bezirk Kufstein;2030.0;1200.0;97.0;45.0;31.0;400.0;8901280725
Naeba;https://www.princehotels.com/en/ski/naeba/;{'lat': '36.7933', 'long': '138.7836'};Japan;Niigata Prefecture;1789.0;889.0;19.0;15.0;18.0;800.0;7024922518
Saint Luc/Chandolin;https://www.valdanniviers.ch/fr/Z15402/st-luc-chandolin;{'lat': '46.2206', 'long': '7.6000'};Switzerland;Valais;2980.0;1300.0;60.0;15.0;15.0;500.0;7747164257
Myoko Suginohara;https://www.princehotels.com/en/ski/myoko_kogen/;{'lat': '36.8915', 'long': '138.1111'};Japan;Niigata Prefecture;1855.0;1124.0;50.0;5.0;3.0;1200.0;5611643753
Pizol;https://pizol.com/;{'lat': '47.0172', 'long': '9.4776'};Switzerland;St. Gallen;2227.0;1718.0;50.0;12.0;12.0;300.0;8097024979
