name;url;locationCoordinate;locationCountry;locationRegion;elevationTopM;elevationDifferenceM;totalSlopeLengthKm;numberOfLifts;numberOfSlopes;annualSnowfallCm;id
Ankenesfjellet;http://www.ankenesalpin.no/;{'lat': '68.4231', 'long': '17.3886'};Norway;Nordland;406.0;321.0;5.4;2.0;2.0;200.0;3251515951
Mountain Creek;https://www.mountaincreek.com/;{'lat': '41.1926', 'long': '-74.5115'};USA;New Jersey;451.0;317.0;24.0;7.0;25.0;125.0;4793758744
Mont Deus Hidakuraiyama;http://www.montdeus.jp/;{'lat': '36.1766', 'long': '137.2592'};Japan;Gifu Prefecture;1166.0;270.0;3.0;3.0;3.0;300.0;9781112151
Kelly Canyon;https://www.kellycanyonresort.com/;{'lat': '43.6336', 'long': '-111.6749'};USA;Idaho;2030.0;250.0;12.0;7.0;3.0;300.0;9704418363
Garéssio 2000;https://www.skiresort.info/ski-resort/garessio-2000/;{'lat': '44.179167', 'long': '8.0125'};Italy;Piedmont;1578.0;236.0;12.0;4.0;3.0;300.0;1956794196
Loup Loup Ski Bowl;https://skitheloup.org/;{'lat': '48.4395', 'long': '-120.2515'};USA;Washington State;1620.0;380.0;11.0;3.0;3.0;300.0;9603771082
Mikawa Onsen;https://www.facebook.com/pg/三川温泉スキー場-777303852342116/;{'lat': '37.2583', 'long': '138.6614'};Japan;Niigata Prefecture;416.0;295.0;5.0;4.0;3.0;300.0;4137989104
Neusell;https://www.neusell.ch/;{'lat': '47.1049', 'long': '8.6732'};Switzerland;Canton of Schwyz;1329.0;375.0;10.0;3.0;3.0;200.0;1768981655
Taira;https://gokayama-taira.com/;{'lat': '36.5000', 'long': '136.9333'};Japan;Toyama Prefecture;933.0;303.0;5.0;3.0;3.0;300.0;7596984503
Schwefelberg;https://www.skiresort.info/ski-resort/schwefelberg-badmattelouigrat/;{'lat': '46.6483', 'long': '7.4436'};Switzerland;Canton of Bern;1750.0;350.0;15.0;2.0;3.0;250.0;5041556133
Sandia Peak;https://sandiapeak.com/;{'lat': '35.2094', 'long': '-106.4536'};USA;New Mexico;3140.0;510.0;31.0;5.0;3.0;200.0;3454605284
Céüze 2000;https://www.skiresort.info/ski-resort/ceueze-2000-gap/;{'lat': '44.5014', 'long': '5.9150'};France;Hautes-Alpes;2020.0;470.0;35.0;8.0;3.0;200.0;2832968041
Serena;https://www.serena.fi/;{'lat': '60.2953', 'long': '24.6699'};Finland;Uusimaa;96.0;51.0;1.5;6.0;3.0;100.0;3369970563
Fagerfjell;https://www.fagerfjell.no/;{'lat': '60.2128', 'long': '9.6120'};Norway;Viken;755.0;150.0;3.0;3.0;3.0;150.0;2640406559
Hurricane Ridge;https://www.hurricaneridge.com/;{'lat': '47.9695', 'long': '-123.4974'};USA;Washington State;1676.0;213.0;2.0;3.0;3.0;500.0;3305752348
Asama 2000 Park;https://asama2000.com/;{'lat': '36.4553', 'long': '138.5583'};Japan;Gunma Prefecture;2091.0;211.0;4.7;4.0;3.0;250.0;5152795580
Georgian Peaks Club;https://www.georgianpeaks.com/;{'lat': '44.5544', 'long': '-80.3991'};Canada;Ontario;430.0;249.0;9.0;5.0;9.0;300.0;4165465407
Mottarone;https://www.mottarone.it/;{'lat': '45.8932', 'long': '8.4610'};Italy;Piedmont;1491.0;186.0;17.9;6.0;17.0;150.0;6658957104
Enzklösterle;https://hirschkopfhuette.de/;{'lat': '48.6833', 'long': '8.5333'};Germany;Karlsruhe;880.0;230.0;1.6;2.0;2.0;80.0;1041074497
Granberget;https://www.granberget.se/;{'lat': '60.731', 'long': '14.859'};Sweden;Dalarna;420.0;200.0;4.0;3.0;3.0;150.0;7648471605
Mont Saxonnex;https://www.mont-saxonnex.fr/;{'lat': '46.0460', 'long': '6.4810'};France;Haute-Savoie;1574.0;524.0;7.0;7.0;6.0;250.0;1366867762
Solfa Oda;https://www.sol-fa.com/;{'lat': '33.8313', 'long': '132.9246'};Japan;Ehime Prefecture;1210.0;213.0;2.9;2.0;3.0;200.0;5798015875
Blue Knob;https://blueknob.com/;{'lat': '40.2972', 'long': '-78.5458'};USA;Pennsylvania;960.0;326.0;16.0;4.0;16.0;200.0;3639799738
Howelsen Hill;https://www.steamboatsprings.net/131/Howelsen-Hill-Ski-Area;{'lat': '40.4862', 'long': '-106.8293'};USA;Colorado;2175.0;135.0;4.0;3.0;3.0;750.0;9772303159
Silberberg – Bodenmais;https://www.bodenmais.de/de/wandern-natur/silberberg/winter;{'lat': '49.0675', 'long': '13.0975'};Germany;Regen;931.0;153.0;2.0;3.0;2.0;120.0;6812393236
Survih;https://www.engadin.ch/de/ski-snowboard/kleine-skigebiete/skilift-survih-samedan/;{'lat': '46.5333', 'long': '9.8667'};Switzerland;Graubünden;1912.0;152.0;1.5;3.0;1.0;200.0;8427156701
Mt. Eyak;https://www.mteyak.org/;{'lat': '60.5606', 'long': '-145.7538'};USA;Alaska;366.0;244.0;5.0;1.0;5.0;600.0;1982759956
Åslia Skisenter;https://www.aaslia.no/;{'lat': '60.2024', 'long': '11.1196'};Norway;Viken;355.0;150.0;1.0;1.0;1.0;200.0;1147493082
St. Gréé;https://www.stgree.net/;{'lat': '44.2953', 'long': '7.8783'};Italy;Piedmont;1740.0;688.0;8.8;2.0;3.0;100.0;5720755954
Kirikeskus;https://www.kirikeskus.fi/kiri-slopes/;{'lat': '66.2575', 'long': '27.2175'};Finland;Lapland;383.0;103.0;2.0;1.0;2.0;200.0;1631956807
Simpsiö;https://www.simpsio.com/;{'lat': '62.9705', 'long': '23.0131'};Finland;Etelä-Pohjanmaa;140.0;90.0;1.8;6.0;1.0;100.0;8762933592
Fahlenscheid;https://www.fahlenscheid.de/;{'lat': '51.0181', 'long': '7.8325'};Germany;Olpe;593.0;84.0;2.0;3.0;2.0;70.0;9430705134
Fujino Healthland Kokusai;https://www.fujino-yagai-sports.jp/winter;{'lat': '43.0587', 'long': '141.3257'};Japan;Hokkaido;540.0;280.0;6.0;3.0;3.0;400.0;1381023743
Awasuno;http://www.awasuno.com;{'lat': '36.6583', 'long': '137.1445'};Japan;Toyama Prefecture;825.0;225.0;2.8;2.0;3.0;400.0;9895143426
Blue Mountain;https://www.skibluemt.com/;{'lat': '40.8110', 'long': '-75.5225'};USA;Pennsylvania;470.0;330.0;18.0;5.0;18.0;130.0;7004885439
Kotobiki Forest Park;http://www.kotobiki.co.jp;{'lat': '35.3688', 'long': '132.9278'};Japan;Shimane Prefecture;706.0;157.0;4.0;3.0;3.0;250.0;2551923158
Puerto Navacerrada;http://www.puertonavacerrada.com/;{'lat': '40.785', 'long': '-4.054'};Spain;Comunidad de Madrid;2174.0;471.0;10.0;5.0;10.0;150.0;7153194995
White Pine;https://whitepinewyoming.com/;{'lat': '42.9777', 'long': '-109.7585'};USA;Wyoming;2896.0;305.0;11.6;3.0;11.0;400.0;8706189847
Gokase Highlands;http://www.gokase.co.jp/;{'lat': '32.5167', 'long': '131.2167'};Japan;Miyazaki Prefecture;1610.0;187.0;1.8;3.0;3.0;100.0;4218409790
Le Brassus;https://www.myvalleedejoux.ch/fr/P4316/teleskis-vallee-de-joux-vaulion;{'lat': '46.5803', 'long': '6.2097'};Switzerland;Vaud;1361.0;301.0;5.0;2.0;3.0;250.0;6058221970
Thaler Höhe;https://www.thaler-hoehe.de;{'lat': '47.5711', 'long': '10.1267'};Germany;Oberallgäu;1165.0;235.0;4.0;4.0;3.0;100.0;3416296788
Big Tupper;https://www.skiresort.info/ski-resort/big-tupper-tupper-lake/;{'lat': '44.2194', 'long': '-74.4603'};USA;New York;1082.0;473.0;12.0;5.0;12.0;300.0;2555125810
Sonnenbichl;https://christa-kinshofer-skizentrum.de/;{'lat': '47.7191', 'long': '11.7385'};Germany;Miesbach;1026.0;194.0;1.4;2.0;2.0;150.0;7902405090
Doganaccia 2000;https://doganaccia2000.it/;{'lat': '44.0818', 'long': '10.8006'};Italy;Tuscany (Toscana);1795.0;349.0;15.0;6.0;3.0;150.0;4628970014
Pajarito Mountain;https://www.pajarito.ski/;{'lat': '35.8828', 'long': '-106.3916'};USA;New Mexico;3182.0;439.0;26.0;6.0;13.0;200.0;9163718839
Donezan-Mijanès;https://www.ski-mijanes.fr/;{'lat': '42.7000', 'long': '1.9711'};France;Ariège;2013.0;486.0;12.0;5.0;12.0;150.0;1123512906
Ohdai;https://ohdai.omagari-sc.com/;{'lat': '39.4378', 'long': '140.5896'};Japan;Akita Prefecture;465.0;285.0;5.0;2.0;8.0;400.0;1080293877
Kaltenbronn;https://www.skilifte-kaltenbronn.de/;{'lat': '48.7061', 'long': '8.4621'};Germany;Rastatt;958.0;100.0;0.6;2.0;1.0;120.0;5174866015
